<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTC-USD,D,180714,00:00:00,6248.6500000
BTC-USD,D,180715,00:00:00,6348.7300000
BTC-USD,D,180716,00:00:00,6728.8100000
BTC-USD,D,180717,00:00:00,7315.0100000
BTC-USD,D,180718,00:00:00,7378.9900000
BTC-USD,D,180719,00:00:00,7470.0100000
BTC-USD,D,180720,00:00:00,7334.4600000
BTC-USD,D,180721,00:00:00,7408.0000000
BTC-USD,D,180722,00:00:00,7397.8000000
BTC-USD,D,180723,00:00:00,7720.0900000
BTC-USD,D,180724,00:00:00,8385.5000000
BTC-USD,D,180725,00:00:00,8157.1500000
BTC-USD,D,180726,00:00:00,7931.9900000
BTC-USD,D,180727,00:00:00,8184.2100000
BTC-USD,D,180728,00:00:00,8228.9000000
BTC-USD,D,180729,00:00:00,8216.3400000
BTC-USD,D,180730,00:00:00,8170.0100000
BTC-USD,D,180731,00:00:00,7727.2700000
BTC-USD,D,180801,00:00:00,7603.9900000
BTC-USD,D,180802,00:00:00,7533.9200000
BTC-USD,D,180803,00:00:00,7414.0800000
BTC-USD,D,180804,00:00:00,7005.0000000
BTC-USD,D,180805,00:00:00,7030.0100000
BTC-USD,D,180806,00:00:00,6938.0000000
BTC-USD,D,180807,00:00:00,6718.2200000
BTC-USD,D,180808,00:00:00,6282.5000000
BTC-USD,D,180809,00:00:00,6546.4500000
BTC-USD,D,180810,00:00:00,6146.0100000
BTC-USD,D,180811,00:00:00,6235.5600000
BTC-USD,D,180812,00:00:00,6316.0100000
BTC-USD,D,180813,00:00:00,6253.6700000
BTC-USD,D,180814,00:00:00,6195.0100000
BTC-USD,D,180815,00:00:00,6269.0100000
BTC-USD,D,180816,00:00:00,6315.9000000
BTC-USD,D,180817,00:00:00,6585.4900000
BTC-USD,D,180818,00:00:00,6396.6400000
BTC-USD,D,180819,00:00:00,6489.5300000
BTC-USD,D,180820,00:00:00,6258.7400000
BTC-USD,D,180821,00:00:00,6475.8900000
BTC-USD,D,180822,00:00:00,6359.9900000
BTC-USD,D,180823,00:00:00,6526.3600000
BTC-USD,D,180824,00:00:00,6690.8800000
BTC-USD,D,180825,00:00:00,6737.5200000
BTC-USD,D,180826,00:00:00,6709.9800000
BTC-USD,D,180827,00:00:00,6911.9000000
BTC-USD,D,180828,00:00:00,7071.0100000
BTC-USD,D,180829,00:00:00,7030.9000000
BTC-USD,D,180830,00:00:00,6983.0000000
BTC-USD,D,180831,00:00:00,7015.0100000
BTC-USD,D,180901,00:00:00,7191.0800000
BTC-USD,D,180902,00:00:00,7295.0000000
BTC-USD,D,180903,00:00:00,7256.9800000
BTC-USD,D,180904,00:00:00,7360.0000000
BTC-USD,D,180905,00:00:00,6687.9600000
BTC-USD,D,180906,00:00:00,6495.0000000
BTC-USD,D,180907,00:00:00,6395.0100000
BTC-USD,D,180908,00:00:00,6188.0000000
BTC-USD,D,180909,00:00:00,6235.0100000
BTC-USD,D,180910,00:00:00,6300.0000000
BTC-USD,D,180911,00:00:00,6282.5300000
BTC-USD,D,180912,00:00:00,6326.0000000
BTC-USD,D,180913,00:00:00,6485.9900000
BTC-USD,D,180914,00:00:00,6478.0400000
BTC-USD,D,180915,00:00:00,6518.6800000
BTC-USD,D,180916,00:00:00,6498.0000000
BTC-USD,D,180917,00:00:00,6250.7000000
BTC-USD,D,180918,00:00:00,6335.7000000
BTC-USD,D,180919,00:00:00,6386.9400000
BTC-USD,D,180920,00:00:00,6493.1100000
BTC-USD,D,180921,00:00:00,6750.0000000
BTC-USD,D,180922,00:00:00,6707.3300000
BTC-USD,D,180923,00:00:00,6696.9900000
BTC-USD,D,180924,00:00:00,6582.0900000
BTC-USD,D,180925,00:00:00,6436.8900000
